;time;x;y;fx;fy
;63;120;-120;51;49
;126;120;-120;51;49
;189;120;-120;51;49
;252;120;-120;51;49
;315;120;-117;0;357
;378;120;-109;0;357
;441;120;-106;0;357
;504;120;-102;0;357
;567;120;-98;0;357
;630;120;-91;0;696
;693;120;-87;0;696
;756;120;-84;0;696
;819;120;-80;0;696
;882;120;-73;0;821
;945;120;-69;0;821
;1008;120;-66;0;821
;1071;120;-62;0;821
;1134;120;-55;0;821
;1197;120;-54;0;959
;1260;120;-57;0;959
;1323;120;-64;0;959
;1386;120;-68;0;959
;1449;120;-72;0;959
;1512;120;-75;0;1168
;1575;120;-82;0;1168
;1638;120;-85;0;1168
;1701;120;-88;0;1168
;1764;120;-91;0;1168
;1827;120;-98;0;868
;1890;120;-102;0;868
;1953;120;-105;0;868
;2016;120;-109;0;868
;2079;120;-113;0;868
;2142;120;-112;0;311
;2205;120;-108;0;311
;2268;120;-105;0;311
;2331;120;-101;0;311
;2394;120;-94;0;311
;2457;120;-91;0;161
;2520;120;-89;62;161
;2583;120;-86;62;161
;2646;120;-81;62;161
;2709;120;-79;62;161
;2772;120;-78;62;0
;2835;120;-78;87;0
;2898;120;-78;87;0
;2961;120;-78;87;0
;3024;120;-78;87;0
;3087;120;-78;87;99
;3150;120;-78;75;99
;3213;120;-78;75;99
;3276;120;-78;75;99
;3339;120;-78;75;99
;3402;120;-78;58;98
;3465;120;-78;58;98
;3528;120;-78;58;98
;3591;120;-78;58;98
;3654;120;-77;58;207
;3717;120;-74;58;207
;3780;120;-70;51;207
;3843;120;-67;51;207
;3906;120;-61;51;207
;3969;120;-57;51;425
;4032;120;-54;51;425
;4095;120;-50;73;425
;4158;120;-43;73;425
;4221;120;-39;73;425
;4284;120;-36;73;425
;4347;120;-32;73;491
;4410;120;-25;105;491
;4473;120;-21;105;491
;4536;120;-17;105;491
;4599;120;-14;105;491
;4662;120;-7;105;479
;4725;120;-3;98;479
;4788;120;0;98;479
;4851;120;3;98;479
;4914;120;11;98;479
;4977;120;14;98;469
;5040;120;18;88;469
;5103;120;22;88;469
;5166;120;29;88;469
;5229;120;33;88;469
;5292;120;36;88;453
;5355;120;40;83;453
;5418;120;47;83;453
;5481;120;51;83;453
;5544;120;54;83;453
;5607;120;58;83;407
;5670;120;65;80;407
;5733;120;69;80;407
;5796;120;73;80;407
;5859;120;76;80;407
;5922;120;84;82;335
;5985;120;87;82;335
;6048;120;91;82;335
;6111;120;95;82;335
;6174;120;102;82;267
;6237;120;107;95;267
;6300;120;111;95;267
;6363;120;116;95;267
;6426;120;126;95;267
;6489;120;130;95;70
;6552;120;130;94;70
;6615;120;130;94;70
;6678;120;130;94;70
;6741;120;130;94;70
;6804;120;130;94;70
;6867;120;130;94;0
;6930;120;130;64;0
;6993;120;130;64;0
;7056;120;130;64;0
;7119;120;130;64;0
;7182;120;130;60;179
;7245;120;130;60;179
;7308;120;130;60;179
;7371;120;130;60;179
