x;y
120;-120
120;-120
120;-120
120;-119
120;-115
120;-113
120;-111
120;-109
120;-105
120;-102
120;-100
120;-97
120;-92
120;-89
120;-86
120;-82
120;-76
120;-72
120;-69
120;-65
120;-58
120;-54
120;-51
120;-47
120;-40
120;-36
120;-33
120;-29
120;-22
120;-18
120;-14
120;-11
120;-4
120;0
120;3
120;6
120;14
120;17
120;21
120;24
120;32
120;35
120;39
120;43
120;50
120;53
120;57
120;61
120;68
120;72
120;75
120;79
120;86
120;90
120;94
120;97
120;105
120;108
120;112
120;115
120;123
120;126
120;130
120;130
