x;y
130;-121
130;-121
130;-121
130;-118
130;-114
130;-111
126;-106
116;-97
113;-93
109;-90
102;-83
99;-80
95;-76
92;-73
88;-70
85;-66
78;-60
75;-56
71;-53
64;-46
61;-43
57;-40
54;-36
50;-32
40;-23
36;-18
26;-8
21;-4
18;-1
15;2
11;5
4;12
1;15
-3;17
-7;19
-16;24
-20;26
-25;28
-29;31
-38;35
-42;37
-47;40
-51;42
-58;48
-62;52
-65;55
-69;58
-77;64
-80;67
-84;71
-87;74
-94;80
-98;83
-101;86
-105;88
-110;93
-113;95
-115;98
-118;102
-122;109
-122;112
-122;116
-122;119
-122;119
-122;119
