x;y
-128;119
-128;119
-128;119
-128;119
-128;119
-128;119
-128;119
-128;119
-128;119
-128;119
-128;119
-128;119
-128;119
-128;119
-128;119
-125;114
-120;104
-118;100
-116;95
-111;86
-109;82
-107;78
-105;73
-101;65
-100;61
-100;57
-100;54
-100;47
-100;43
-100;39
-100;36
-100;32
-100;25
-100;21
-100;17
-100;14
-100;10
-100;3
-100;-4
-100;-7
-100;-11
-100;-15
-100;-18
-100;-22
-100;-29
-100;-33
-100;-37
-100;-44
-100;-48
-100;-51
-100;-58
-100;-62
-102;-66
-104;-69
-106;-73
-109;-80
-111;-87
-111;-90
-111;-99
-111;-103
-111;-108
-111;-113
-111;-118
-111;-122
-111;-125
-111;-130
-111;-130
-111;-130
-111;-130
