time;x;y;fx;fy
63;120;-120;0;59
126;120;-120;0;59
189;120;-117;0;183
252;120;-115;0;183
315;120;-110;0;183
378;120;-107;0;183
441;120;-105;0;183
504;120;-101;0;390
567;120;-94;0;390
630;120;-90;0;390
693;120;-87;0;390
756;120;-83;0;390
819;120;-76;0;308
882;120;-72;0;308
945;120;-68;0;308
1008;120;-65;0;308
1071;120;-57;0;308
1134;120;-54;0;331
1197;120;-50;0;331
1260;120;-46;0;331
1323;120;-39;0;331
1386;120;-35;0;331
1449;120;-32;0;301
1512;120;-24;0;301
1575;120;-21;49;301
1638;120;-17;49;301
1701;120;-10;49;194
1764;120;-7;49;194
1827;120;-3;49;194
1890;120;0;105;194
1953;120;2;105;194
2016;120;9;105;194
2079;120;12;105;117
2142;120;13;105;117
2205;121;16;117;117
2268;122;18;117;117
2331;124;19;117;117
2394;125;21;117;117
2457;127;23;117;127
2520;130;26;118;127
2583;131;28;118;127
2646;133;30;118;127
2709;134;32;118;127
2772;137;32;118;84
2835;138;32;0;84
2898;138;32;0;84
2961;138;32;0;84
3024;138;34;0;194
3087;138;37;0;194
3150;138;40;0;194
3213;138;43;0;194
3276;138;50;0;194
3339;138;52;0;130
3402;138;54;0;130
3465;138;58;0;130
3528;138;59;0;130
3591;138;61;0;130
3654;138;63;0;128
3717;138;64;0;128
3780;138;68;0;128
3843;138;70;0;128
3906;138;71;0;128
3969;138;73;0;106
4032;138;73;0;106
4095;138;73;0;106
4158;138;73;0;106
4221;138;73;0;106
4284;138;74;0;126
4347;138;76;0;126
4410;138;78;0;126
4473;138;81;0;126
4536;138;83;0;126
4599;138;85;0;129
4662;138;86;0;129
4725;138;88;0;129
4788;138;90;0;129
4851;138;93;0;129
4914;138;96;0;170
4977;138;98;0;170
5040;138;103;0;170
5103;138;106;0;170
5166;138;108;0;170
5229;138;113;0;160
5292;138;113;0;160
5355;138;118;0;160
5418;138;120;0;160
5481;138;123;0;160
5544;138;124;0;0
5607;138;124;0;0
5670;138;124;0;0
5733;138;124;0;0
5796;138;124;0;106
5859;138;124;0;106
5922;138;124;0;106
5985;138;124;0;106
6048;138;124;0;106
6111;138;124;0;66
6174;138;124;0;66
6237;138;124;0;66
6300;138;124;0;66
6363;138;124;0;66
6426;138;124;0;0
6489;138;124;0;0
6552;138;124;-29;0
6615;138;124;-29;0
6678;138;124;-29;0
6741;138;124;-29;0
6804;138;124;-29;0
6867;138;124;-29;0
6930;138;124;-53;0
6993;138;124;-53;-79
