x;y
120;130
120;130
120;130
120;126
120;125
120;123
120;119
120;118
120;116
120;114
120;113
120;111
120;109
120;109
120;109
120;109
120;109
120;109
119;109
116;109
112;109
109;109
107;109
104;109
99;109
96;109
93;109
87;105
87;101
87;98
87;95
87;88
87;83
87;79
87;69
87;64
87;59
87;58
85;56
81;53
79;52
77;50
72;47
68;45
65;44
62;42
58;40
52;37
50;35
47;33
42;30
40;28
37;26
35;24
31;20
29;18
27;16
25;14
21;10
19;8
17;6
15;4
11;0
8;-2
6;-4
3;-6
0;-8
-4;-12
-6;-14
-9;-16
-14;-20
-16;-22
-19;-24
-21;-26
-26;-30
-28;-33
-30;-35
-32;-37
-36;-41
-38;-43
-40;-45
-42;-47
-46;-51
-48;-53
-50;-55
-52;-57
-57;-61
-59;-63
-61;-65
-63;-67
-67;-71
-69;-73
-71;-75
-73;-77
-77;-81
-79;-83
-81;-84
-83;-86
-86;-90
-88;-91
-90;-93
-91;-95
-95;-98
-97;-100
-99;-102
-103;-105
-105;-107
-107;-108
-109;-110
-111;-112
-115;-115
-117;-117
-119;-119
-121;-120
-124;-124
-124;-124
-124;-124
-124;-124
-124;-124
-124;-124
