x;y
-121;-125
-121;-125
-121;-125
-121;-125
-121;-125
-118;-125
-110;-125
-103;-125
-100;-125
-92;-125
-89;-125
-85;-125
-81;-125
-78;-125
-70;-125
-63;-125
-60;-125
-52;-125
-45;-125
-41;-125
-34;-125
-27;-125
-19;-125
-16;-125
-9;-125
-1;-125
1;-125
5;-125
9;-125
16;-125
23;-125
27;-125
31;-125
38;-125
42;-125
45;-125
49;-125
56;-125
60;-125
63;-125
71;-125
74;-125
82;-125
91;-125
96;-125
100;-125
110;-125
117;-125
120;-125
123;-125
130;-125
132;-125
134;-125
135;-125
137;-125
140;-125
